"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H","neo","pha","diameter","sats"
"  4514 Vilen (1972 HX)",2.344,0.1526,7.96,110.35,88.28,1.987,2.70,3.59,18862,0,9161,,,14.13,N,N,,1
"  4528 Berg (1983 PP)",2.55,0.1370,8.71,161.34,316.13,2.201,2.90,4.07,21425,0,12482,,,12.54,N,N,9.356,1
"  4541 Mizuno (1989 AF)",2.379,0.0202,4.78,65.93,27.06,2.331,2.43,3.67,34300,0,9278,,,13.20,N,N,6.294,1
"  4607 Seilandfarm (1987 WR)",2.264,0.0196,2.25,250.41,222.80,2.219,2.31,3.41,17698,0,6282,,,13.44,N,N,7.389,1
"  4666 Dietz (1986 JA1)",2.34,0.2341,24.51,230.18,42.13,1.792,2.89,3.58,13782,0,6352,,,13.16,N,N,6.827,2
"  4674 Pauling (1989 JC)",1.859,0.0704,19.44,232.90,239.58,1.728,1.99,2.53,13926,0,5370,,,13.99,N,N,4.818,1
"  4765 Wasserburg (1986 JN1)",1.945,0.0601,23.71,76.50,108.67,1.828,2.06,2.71,14934,0,3516,,,14.04,N,N,1.777,1
"  4786 Tatianina (1985 PE2)",2.357,0.1952,7.25,115.70,118.42,1.897,2.82,3.62,19598,0,4456,,,13.47,N,N,3.282,1
"  4788 Simpson (1986 TL1)",2.262,0.1300,4.32,277.15,110.61,1.968,2.56,3.4,17200,0,3455,,,13.91,N,N,3.583,1
"  4868 Knushevia (1989 UN2)",1.96,0.0684,22.11,187.49,94.46,1.826,2.09,2.74,14802,0,5474,,,15.17,N,N,1.535,1
"  4901 O Briain (1988 VJ)",2.274,0.1909,4.64,227.11,94.30,1.840,2.71,3.43,26826,0,4077,,,13.74,N,N,5.225,1
"  4951 Iwamoto (1990 BM)",2.257,0.1667,7.53,100.98,339.89,1.881,2.63,3.39,33709,0,3715,,,13.50,N,N,5.192,1
"  5037 Habing (6552 P-L)",2.273,0.1104,7.03,165.93,280.44,2.022,2.52,3.43,23139,0,4140,,,13.35,N,N,5.676,1
"  5112 Kusaji (1987 SM13)",2.174,0.1300,5.77,62.66,341.69,1.892,2.46,3.21,19105,0,3752,,,14.03,N,N,3.419,1
"  5135 Nibutani (1990 UE)",2.239,0.1275,3.31,35.44,229.83,1.953,2.52,3.35,19968,0,4698,,,13.66,N,N,4.816,1
"  5143 Heracles (1991 VL)",1.835,0.7713,8.98,309.19,228.14,0.420,3.25,2.49,25631,0,4639,1,0,14.06,Y,N,4.843,1
"  5261 Eureka (1990 MB)",1.523,0.0648,20.28,245.02,95.47,1.425,1.62,1.88,15765,0,2192,,,16.13,N,N,1.878,1
"  5319 Petrovskaya (1985 RK6)",2.257,0.1543,6.24,200.44,81.70,1.909,2.60,3.39,26361,0,4771,,,13.78,N,N,4.911,1
"  5381 Sekhmet (1991 JY)",0.9475,0.2964,48.97,58.53,37.42,0.667,1.23,0.922,10211,0,642,1,0,16.75,Y,N,0.935,1
"  5402 Kejosmith (1989 UK2)",2.046,0.1366,16.71,237.00,133.36,1.767,2.33,2.93,13457,0,3669,,,13.69,N,N,4.191,1
"  5407 (1992 AX)",1.839,0.2775,11.39,117.68,108.88,1.329,2.35,2.49,26362,0,12490,,,14.42,N,N,2.823,1
"  5425 Vojtech (1984 SA1)",2.454,0.1353,6.26,355.84,25.86,2.122,2.79,3.84,25149,0,4790,,,13.26,N,N,7.052,1
"  5426 Sharp (1985 DD)",1.955,0.1167,23.79,88.12,67.73,1.727,2.18,2.73,13965,0,2778,,,14.26,N,N,2.033,1
"  5474 Gingasen (1988 XE1)",2.383,0.0683,6.14,246.87,257.54,2.221,2.55,3.68,19206,0,6937,,,13.35,N,N,5.046,1
"  5477 Holmes (1989 UH2)",1.917,0.0751,22.55,49.08,290.41,1.773,2.06,2.65,12458,0,11849,,,14.32,N,N,3.147,1
"  5481 Kiuchi (1990 CH)",2.339,0.0628,5.96,326.04,249.85,2.192,2.49,3.58,19428,0,4918,,,13.47,N,N,,1
"  5500 Twilley (1981 WR)",2.28,0.0883,4.40,112.46,340.83,2.078,2.48,3.44,25147,0,3677,,,13.76,N,N,4.483,1
"  5536 Honeycutt (1955 QN)",2.25,0.0943,6.78,250.59,124.97,2.037,2.46,3.37,25504,0,5963,,,13.15,N,N,,1
"  5646 (1990 TR)",2.144,0.4359,7.91,14.11,335.77,1.209,3.08,3.14,12371,0,2501,,,15.51,Y,N,4.3,1
"  5674 Wolff (1986 RW2)",2.357,0.1660,1.70,39.81,311.68,1.966,2.75,3.62,24739,0,3972,,,13.53,N,N,6.039,1
"  5772 Johnlambert (1988 LB)",2.554,0.1287,12.23,275.18,7.67,2.225,2.88,4.08,25150,0,3580,,,13.10,N,N,,1
"  5781 Barkhatova (1990 SM28)",2.137,0.0379,2.71,259.01,171.39,2.056,2.22,3.12,26482,0,5986,,,13.83,N,N,5.653,1
"  5872 Sugano (1989 SL)",2.249,0.1334,6.61,242.32,131.39,1.949,2.55,3.37,24971,0,3506,,,13.79,N,N,,1
"  5899 Jedicke (1986 AH)",1.928,0.1168,24.01,125.30,263.66,1.703,2.15,2.68,16767,0,2864,,,14.24,N,N,2.672,1
"  5905 Johnson (1989 CJ1)",1.91,0.0718,27.52,141.25,208.75,1.773,2.05,2.64,12526,0,4086,,,13.96,N,N,4.728,1
"  6016 Carnelli (1991 PA11)",2.332,0.2145,5.90,189.25,164.10,1.832,2.83,3.56,23493,0,7015,,,13.68,N,N,3.526,1
"  6084 Bascom (1985 CT)",2.313,0.2360,23.00,147.17,258.75,1.767,2.86,3.52,26979,0,3918,,,12.96,N,N,6.347,1
